"SAP Buchungskreis";"order number";"article number";"article name"
"M223";"190393732";"2312255";"QP 230/50 ONEBLADE 3X ERSATZKLINGE"
"M086";"190446663";"2716507";"MG5730/15 ALL-IN-ONE TRIMMER 5000"
"M049";"190482586";"2583343";"HX9611/19 EXPERTCLEAN WHITE"
"M068";"190515079";"2660341";"HX 9911/27 DIAMONDCLEAN PREMIUM MIT LADEGLAS"
"S053";"190355097";"2312203";"HD 6554/10 SENSEO ORIGINAL WEISS"
"M173";"190510365";"2161393";"HR 1921/20 AVANCE 1100W EDELSTAHL"
"S084";"190384138";"2312243";"FC 8243/09 POWERGO"
"S038";"330558116";"2395807";"BRE 644/00 SATINELLE PRESTIGE"
"M046";"190372023";"2457203";"GC 2997/40 POWERLIFE 2400W ROT"
"S015";"190381264";"2739489";"BRI947/00 IPL HAIR REMOVAL KABELGEBUNDEN"
"S202";"190315878";"2410929";"HC 3510/15 INKL. BARTKAMM SCHWARZ"
"M174";"190405912";"2758328";"HX9917/88 DIAMONDCLEAN SMART 9300 WEISS"
"S208";"190425850";"2388509";"SM 5570/10 PICOBARISTO DELUXE"
"M107";"190529399";"2229904";"HD 5408/20 CAFÉ GOURMET SW"
"S096";"190445981";"2148233";"BUNDLE HUE BRIDGE & LIGHTSTRIPS+"
"M115";"190328641";"2457232";"FC 8253/09 POWERGO PROMO 750W GRAU"
"M103";"190585136";"2312207";"HD 6554/68 SENSEO ORIGINAL SW"
"M025";"190378614";"2583321";"XC8147/01 SPEEDPRO MAX+ AQUA"
"M217";"190423560";"2670818";"S 5588/30"
"S040";"190583731";"2229912";"HR 3556/00 27.000U/MIN 900W EDELS."
"M064";"190550443";"2312248";"FC 9741/09 POWERPRO EXPERT"
"M155";"190415564";"2570476";"HR 3746/00 HANDMIXER 3L RÜHRSCHÜSSEL"
"M197";"190510064";"2663580";"E1205BK/00"
"M147";"190396497";"2528072";"EP 2220/10 2200 PANARELLO SW"
"S034";"190267661";"2229902";"HD 2581/90 2-SCHLICHTZ 830W SW"
"M083";"190377611";"2528100";"SCD 733/26 AUDIO-BABYPHONE DECT"
"M211";"190383935";"2728698";"HX9992/11 SONICARE PRESTIGE CHAMPAGNE"
"M015";"190427599";"1388034";"HD 9140/91"
"M024";"190438494";"2229913";"HR 3741/00 450W WEISS"
"M116";"190552080";"2619215";"AC4236/10 BF EINS+ZWEIDR 500M3/H"
"M263";"190187033";"1930349";"HX6732/42 SONICARE HEALTHYWHITE"
